ticker,name,sector
7203.T,トヨタ自動車,自動車
7267.T,本田技研工業,自動車
7201.T,日産自動車,自動車
7261.T,マツダ,自動車
7269.T,スズキ,自動車
7270.T,SUBARU,自動車
6902.T,デンソー,自動車
7259.T,アイシン,自動車
6758.T,ソニーグループ,電機・精密
6752.T,パナソニック ホールディングス,電機・精密
6501.T,日立製作所,電機・精密
6702.T,富士通,電機・精密
6701.T,NEC,電機・精密
7751.T,キヤノン,電機・精密
6861.T,キーエンス,電機・精密
6954.T,ファナック,電機・精密
6645.T,オムロン,電機・精密
6971.T,京セラ,電機・精密
6981.T,村田製作所,電機・精密
6762.T,TDK,電機・精密
7741.T,HOYA,電機・精密
8035.T,東京エレクトロン,半導体
6723.T,ルネサスエレクトロニクス,半導体
6857.T,アドバンテスト,半導体
4063.T,信越化学工業,半導体
9432.T,日本電信電話(NTT),通信
9433.T,KDDI,通信
9434.T,ソフトバンク,通信
4751.T,サイバーエージェント,通信
8306.T,三菱UFJフィナンシャル・グループ,銀行
8316.T,三井住友フィナンシャルグループ,銀行
8411.T,みずほフィナンシャルグループ,銀行
8308.T,りそなホールディングス,銀行
8604.T,野村ホールディングス,証券・保険
8601.T,大和証券グループ本社,証券・保険
8766.T,東京海上ホールディングス,証券・保険
8750.T,第一生命ホールディングス,証券・保険
8725.T,MS&ADインシュアランスグループ,証券・保険
8058.T,三菱商事,商社
8031.T,三井物産,商社
8001.T,伊藤忠商事,商社
8053.T,住友商事,商社
8002.T,丸紅,商社
9983.T,ファーストリテイリング,小売
3382.T,セブン&アイ・ホールディングス,小売
8267.T,イオン,小売
7453.T,良品計画,小売
3086.T,J.フロント リテイリング,小売
2802.T,味の素,食品・飲料
2502.T,アサヒグループホールディングス,食品・飲料
2503.T,キリンホールディングス,食品・飲料
2269.T,明治ホールディングス,食品・飲料
2897.T,日清食品ホールディングス,食品・飲料
2914.T,日本たばこ産業(JT),食品・飲料
2282.T,日本ハム,食品・飲料
4502.T,武田薬品工業,医薬品
4503.T,アステラス製薬,医薬品
4568.T,第一三共,医薬品
4519.T,中外製薬,医薬品
4523.T,エーザイ,医薬品
4507.T,塩野義製薬,医薬品
4578.T,大塚ホールディングス,医薬品
6367.T,ダイキン工業,機械
6326.T,クボタ,機械
6301.T,小松製作所,機械
7011.T,三菱重工業,機械
6113.T,アマダ,機械
6103.T,オークマ,機械
3407.T,旭化成,化学
4183.T,三井化学,化学
4005.T,住友化学,化学
3402.T,東レ,化学
4452.T,花王,化学
4901.T,富士フイルムホールディングス,化学
5401.T,日本製鉄,鉄鋼・金属
5411.T,JFEホールディングス,鉄鋼・金属
5406.T,神戸製鋼所,鉄鋼・金属
5713.T,住友金属鉱山,鉄鋼・金属
5714.T,DOWAホールディングス,鉄鋼・金属
1925.T,大和ハウス工業,不動産・建設
1928.T,積水ハウス,不動産・建設
8830.T,住友不動産,不動産・建設
1801.T,大成建設,不動産・建設
1812.T,鹿島建設,不動産・建設
3003.T,ヒューリック,不動産・建設
9020.T,東日本旅客鉄道(JR東日本),鉄道・運輸
9022.T,東海旅客鉄道(JR東海),鉄道・運輸
9021.T,西日本旅客鉄道(JR西日本),鉄道・運輸
9101.T,日本郵船,鉄道・運輸
9104.T,商船三井,鉄道・運輸
9107.T,川崎汽船,鉄道・運輸
9202.T,ANAホールディングス,鉄道・運輸
9201.T,日本航空(JAL),鉄道・運輸
5020.T,ENEOSホールディングス,エネルギー
5019.T,出光興産,エネルギー
9501.T,東京電力ホールディングス,電力・ガス
9503.T,関西電力,電力・ガス
9531.T,東京ガス,電力・ガス
9532.T,大阪ガス,電力・ガス
7974.T,任天堂,ゲーム・娯楽
9766.T,コナミグループ,ゲーム・娯楽
9697.T,カプコン,ゲーム・娯楽
7832.T,バンダイナムコホールディングス,ゲーム・娯楽
6098.T,リクルートホールディングス,サービス
4307.T,野村総合研究所,サービス
4324.T,電通グループ,サービス
2432.T,DeNA,サービス
2433.T,博報堂DYホールディングス,サービス
8591.T,オリックス,金融
8473.T,SBIホールディングス,金融
8697.T,日本取引所グループ,金融
6178.T,日本郵政,金融
