ticker,name,sector
1301.T,極洋,水産・農林業
1332.T,ニッスイ,水産・農林業
1605.T,INPEX,鉱業
1721.T,コムシスホールディングス,建設業
1801.T,大成建設,建設業
1802.T,大林組,建設業
1803.T,清水建設,建設業
1808.T,長谷工コーポレーション,建設業
1812.T,鹿島建設,建設業
1878.T,大東建託,不動産業
1925.T,大和ハウス工業,建設業
1928.T,積水ハウス,建設業
1963.T,日揮ホールディングス,建設業
2002.T,日清製粉グループ本社,食料品
2269.T,明治ホールディングス,食料品
2282.T,日本ハム,食料品
2413.T,エムスリー,サービス業
2432.T,DeNA,サービス業
2501.T,サッポロホールディングス,食料品
2502.T,アサヒグループホールディングス,食料品
2503.T,キリンホールディングス,食料品
2531.T,宝ホールディングス,食料品
2768.T,双日,卸売業
2801.T,キッコーマン,食料品
2802.T,味の素,食料品
2871.T,ニチレイ,食料品
2914.T,日本たばこ産業,食料品
285A.T,キオクシアホールディングス,電気機器
3086.T,J.フロント リテイリング,小売業
3099.T,三越伊勢丹ホールディングス,小売業
3289.T,東急不動産ホールディングス,不動産業
3291.T,飯田グループホールディングス,不動産業
3382.T,セブン＆アイ・ホールディングス,小売業
3402.T,東レ,繊維製品
3407.T,旭化成,化学
3436.T,SUMCO,電気機器
3563.T,FOOD & LIFE COMPANIES,小売業
3659.T,ネクソン,情報・通信業
3697.T,SHIFT,情報・通信業
3861.T,王子ホールディングス,パルプ・紙
3863.T,日本製紙,パルプ・紙
4004.T,レゾナック・ホールディングス,化学
4021.T,日産化学,化学
4042.T,東ソー,化学
4043.T,トクヤマ,化学
4061.T,デンカ,化学
4062.T,イビデン,電気機器
4063.T,信越化学工業,化学
4151.T,協和キリン,医薬品
4183.T,三井化学,化学
4188.T,三菱ケミカルグループ,化学
4208.T,UBE,化学
4272.T,日本火薬,化学
4307.T,野村総合研究所,情報・通信業
4324.T,電通グループ,サービス業
4452.T,花王,化学
4502.T,武田薬品工業,医薬品
4503.T,アステラス製薬,医薬品
4506.T,住友ファーマ,医薬品
4507.T,塩野義製薬,医薬品
4519.T,中外製薬,医薬品
4523.T,エーザイ,医薬品
4543.T,テルモ,精密機器
4568.T,第一三共,医薬品
4578.T,大塚ホールディングス,医薬品
4631.T,DIC,化学
4661.T,オリエンタルランド,サービス業
4689.T,LYコーポレーション,情報・通信業
4704.T,トレンドマイクロ,情報・通信業
4751.T,サイバーエージェント,サービス業
4755.T,楽天グループ,情報・通信業
4901.T,富士フイルムホールディングス,化学
4902.T,コニカミノルタ,電気機器
5001.T,ENEOSホールディングス,石油石炭製品
5019.T,出光興産,石油石炭製品
5101.T,横浜ゴム,ゴム製品
5108.T,ブリヂストン,ゴム製品
5201.T,AGC,ガラス土石製品
5214.T,日本電気硝子,ガラス土石製品
5232.T,住友大阪セメント,ガラス土石製品
5233.T,太平洋セメント,ガラス土石製品
5301.T,東海カーボン,ガラス土石製品
5332.T,TOTO,ガラス土石製品
5333.T,日本碍子,ガラス土石製品
5401.T,日本製鉄,鉄鋼
5406.T,神戸製鋼所,鉄鋼
5411.T,JFEホールディングス,鉄鋼
5703.T,日本軽金属ホールディングス,非鉄金属
5711.T,三菱マテリアル,非鉄金属
5713.T,住友金属鉱山,非鉄金属
5714.T,DOWAホールディングス,非鉄金属
5741.T,UACJ,非鉄金属
5802.T,住友電気工業,非鉄金属
5803.T,フジクラ,非鉄金属
5901.T,東洋製罐グループホールディングス,金属製品
6098.T,リクルートホールディングス,サービス業
6103.T,オークマ,機械
6113.T,アマダ,機械
6146.T,ディスコ,電気機器
6178.T,日本郵政,その他金融業
6273.T,SMC,機械
6301.T,小松製作所（コマツ）,機械
6302.T,住友重機械工業,機械
6305.T,日立建機,機械
6326.T,クボタ,機械
6361.T,荏原製作所,機械
6367.T,ダイキン工業,電気機器
6471.T,日本精工,機械
6472.T,NTN,機械
6473.T,ジェイテクト,機械
6479.T,ミネベアミツミ,電気機器
6501.T,日立製作所,電気機器
6503.T,三菱電機,電気機器
6504.T,富士電機,電気機器
6506.T,安川電機,電気機器
6532.T,ベイカレント・コンサルティング,サービス業
6563.T,ローム,電気機器
6594.T,ニデック,電気機器
6645.T,オムロン,電気機器
6674.T,ジーエス・ユアサ コーポレーション,電気機器
6701.T,NEC,電気機器
6702.T,富士通,電気機器
6723.T,ルネサスエレクトロニクス,電気機器
6724.T,セイコーエプソン,電気機器
6752.T,パナソニックホールディングス,電気機器
6758.T,ソニーグループ,電気機器
6762.T,TDK,電気機器
6770.T,アルプスアルパイン,電気機器
6806.T,ヒロセ電機,電気機器
6857.T,アドバンテスト,電気機器
6861.T,キーエンス,電気機器
6902.T,デンソー,輸送用機器
6920.T,レーザーテック,電気機器
6954.T,ファナック,電気機器
6971.T,京セラ,電気機器
6981.T,村田製作所,電気機器
7003.T,三井E&Sホールディングス,機械
7004.T,日立造船,機械
7011.T,三菱重工業,機械
7013.T,IHI,機械
7186.T,コンコルディア・フィナンシャルグループ,銀行業
7201.T,日産自動車,輸送用機器
7203.T,トヨタ自動車,輸送用機器
7211.T,三菱自動車工業,輸送用機器
7261.T,マツダ,輸送用機器
7267.T,本田技研工業,輸送用機器
7269.T,スズキ,輸送用機器
7270.T,SUBARU,輸送用機器
7272.T,ヤマハ発動機,輸送用機器
7532.T,パン・パシフィック・インターナショナルホールディングス,小売業
7731.T,ニコン,精密機器
7733.T,オリンパス,精密機器
7735.T,スクリーンホールディングス,電気機器
7741.T,HOYA,精密機器
7751.T,キヤノン,電気機器
7752.T,リコー,電気機器
7832.T,バンダイナムコホールディングス,その他製品
7911.T,TOPPANホールディングス,その他製品
7912.T,大日本印刷,その他製品
7951.T,ヤマハ,その他製品
7974.T,任天堂,その他製品
8001.T,伊藤忠商事,卸売業
8002.T,丸紅,卸売業
8015.T,豊田通商,卸売業
8031.T,三井物産,卸売業
8035.T,東京エレクトロン,電気機器
8053.T,住友商事,卸売業
8058.T,三菱商事,卸売業
8113.T,ユニ・チャーム,化学
8253.T,クレディセゾン,その他金融業
8267.T,イオン,小売業
8306.T,三菱UFJフィナンシャル・グループ,銀行業
8308.T,りそなホールディングス,銀行業
8309.T,三井住友トラスト・ホールディングス,銀行業
8316.T,三井住友フィナンシャルグループ,銀行業
8331.T,千葉銀行,銀行業
8354.T,福岡フィナンシャルグループ,銀行業
8355.T,静岡フィナンシャルグループ,銀行業
8411.T,みずほフィナンシャルグループ,銀行業
8601.T,大和証券グループ本社,証券商品先物
8604.T,野村ホールディングス,証券商品先物
8630.T,SOMPOホールディングス,保険業
8697.T,日本取引所グループ,証券商品先物
8725.T,MS&ADインシュアランスグループホールディングス,保険業
8750.T,第一生命ホールディングス,保険業
8766.T,東京海上ホールディングス,保険業
